Ticker,Market,Name,Final position,Side,Total cost,Total return ($),Total return (%),Last updated
KXMVESPORTSMULTIGAMEEXTENDED-S2026F6D6D44A686-232C90D5F9B,"yes Target Price: $65,063.08,yes Target Price: $1,940.78","yes Target Price: $65,063.08,yes Target Price: $1,940.78",15.01,Yes,9.98,-9.98,-100.00,2026-07-27T01:15:16.055343Z
KXBTC15M-26JUL262100-00,BTC price up in next 15 mins?,"Target Price: $65,093.70",100,No,97.10,2.71,2.79,2026-07-27T01:00:05.986287Z
KXBTC15M-26JUL262045-45,BTC price up in next 15 mins?,"Target Price: $65,152.54",10,No,7.60,2.28,30.00,2026-07-27T00:45:06.039244Z
KXBTC15M-26JUL262030-30,BTC price up in next 15 mins?,"Target Price: $65,170.24",100,No,87.00,12.21,14.03,2026-07-27T00:30:06.099379Z
KXBTC15M-26JUL262000-00,BTC price up in next 15 mins?,"Target Price: $65,345.17",18,No,4.80,13.20,275.00,2026-07-27T00:00:06.040578Z
KXBTC15M-26JUL261945-45,BTC price up in next 15 mins?,"Target Price: $65,277.53",9,Yes,2.98,6.02,202.01,2026-07-26T23:45:06.031895Z
KXBTC15M-26JUL261930-30,BTC price up in next 15 mins?,"Target Price: $65,367.21",9,No,3.00,6.00,200.00,2026-07-26T23:30:06.035158Z
KXBTC15M-26JUL261915-15,BTC price up in next 15 mins?,"Target Price: $65,351.73",3,Yes,1.20,1.80,150.00,2026-07-26T23:15:06.037825Z
KXBTC15M-26JUL261900-00,BTC price up in next 15 mins?,"Target Price: $65,413.03",3,No,1.20,1.80,150.00,2026-07-26T23:00:06.037737Z
KXBTC15M-26JUL261845-45,BTC price up in next 15 mins?,"Target Price: $65,178.49",,,6.05,-4.74,-78.35,2026-07-26T22:45:06.03495Z
KXBTC15M-26JUL261800-00,BTC price up in next 15 mins?,"Target Price: $64,763.41",,,5.54,-4.06,-73.29,2026-07-26T22:00:06.043217Z
KXBTC15M-26JUL261745-45,BTC price up in next 15 mins?,"Target Price: $64,760.67",,,6.13,-1.76,-28.71,2026-07-26T21:45:06.047589Z
KXBTC15M-26JUL261730-30,BTC price up in next 15 mins?,"Target Price: $64,640.12",,,6.04,-4.85,-80.30,2026-07-26T21:30:06.082893Z
KXBTC15M-26JUL261615-15,BTC price up in next 15 mins?,"Target Price: $64,646.88",,,6.05,-4.59,-75.87,2026-07-26T20:15:06.309006Z
KXBTC15M-26JUL261545-45,BTC price up in next 15 mins?,"Target Price: $64,664.65",,,6.05,-4.59,-75.87,2026-07-26T19:45:06.035362Z
KXBTC15M-26JUL261515-15,BTC price up in next 15 mins?,"Target Price: $64,685.80",3,No,1.20,1.80,150.00,2026-07-26T19:15:06.032812Z
KXBTC15M-26JUL261500-00,BTC price up in next 15 mins?,"Target Price: $64,653.93",,,6.06,-4.43,-73.10,2026-07-26T19:00:06.031931Z
KXBTC15M-26JUL261445-45,BTC price up in next 15 mins?,"Target Price: $64,636.12",9,Yes,3.00,6.00,200.00,2026-07-26T18:45:06.135494Z
KXBTC15M-26JUL261400-00,BTC price up in next 15 mins?,"Target Price: $64,631.51",,,6.03,-5.04,-83.58,2026-07-26T18:00:06.04217Z
KXBTC15M-26JUL261345-45,BTC price up in next 15 mins?,"Target Price: $64,664.30",,,6.05,-4.59,-75.87,2026-07-26T17:45:06.039352Z
KXBTC15M-26JUL261330-30,BTC price up in next 15 mins?,"Target Price: $64,712.86",9,No,2.97,5.98,201.35,2026-07-26T17:30:06.039498Z
KXBTC15M-26JUL261315-15,BTC price up in next 15 mins?,"Target Price: $64,688.58",,,5.93,-5.20,-87.69,2026-07-26T17:15:06.034313Z
KXBTC15M-26JUL261300-00,BTC price up in next 15 mins?,"Target Price: $64,769.95",3,No,1.20,1.80,150.00,2026-07-26T17:00:06.030917Z
KXBTC15M-26JUL261215-15,BTC price up in next 15 mins?,"Target Price: $64,712.31",,,6.04,-4.85,-80.30,2026-07-26T16:15:06.030796Z
KXBTC15M-26JUL261145-45,BTC price up in next 15 mins?,"Target Price: $64,702.75",,,6.05,-4.51,-74.55,2026-07-26T15:45:06.033659Z
KXBTC15M-26JUL261115-15,BTC price up in next 15 mins?,"Target Price: $64,660.26",18,No,4.80,13.20,275.00,2026-07-26T15:15:05.980292Z
KXBTC15M-26JUL261100-00,BTC price up in next 15 mins?,"Target Price: $64,635.89",,,5.77,-5.69,-98.61,2026-07-26T15:00:06.028037Z
KXBTC15M-26JUL261045-45,BTC price up in next 15 mins?,"Target Price: $64,584.42",3,Yes,1.20,1.80,150.00,2026-07-26T14:45:06.023808Z
KXBTC15M-26JUL260945-45,BTC price up in next 15 mins?,"Target Price: $64,412.86",,,6.03,-5.05,-83.75,2026-07-26T13:47:25.972553Z
KXBTC15M-26JUL260845-45,BTC price up in next 15 mins?,"Target Price: $64,521.84",,,6.03,-5.21,-86.40,2026-07-26T12:45:06.01622Z
KXBTC15M-26JUL260815-15,BTC price up in next 15 mins?,"Target Price: $64,451.98",,,6.02,-5.32,-88.37,2026-07-26T12:15:06.017642Z
KXBTC15M-26JUL260730-30,BTC price up in next 15 mins?,"Target Price: $64,453.24",,,6.03,-5.13,-85.07,2026-07-26T11:30:06.019781Z
KXBTC15M-26JUL260715-15,BTC price up in next 15 mins?,"Target Price: $64,462.07",,,6.04,-4.90,-81.13,2026-07-26T11:15:06.018973Z
KXBTC15M-26JUL260700-00,BTC price up in next 15 mins?,"Target Price: $64,492.50",18,No,4.80,13.20,275.00,2026-07-26T11:00:06.017134Z
KXBTC15M-26JUL260645-45,BTC price up in next 15 mins?,"Target Price: $64,462.24",,,6.05,-4.74,-78.35,2026-07-26T10:45:06.018148Z
KXBTC15M-26JUL260630-30,BTC price up in next 15 mins?,"Target Price: $64,453.23",9,Yes,3.00,6.00,200.00,2026-07-26T10:30:06.018727Z
KXBTC15M-26JUL260545-45,BTC price up in next 15 mins?,"Target Price: $64,474.18",,,6.06,-4.14,-68.32,2026-07-26T09:45:06.017511Z
KXBTC15M-26JUL260530-30,BTC price up in next 15 mins?,"Target Price: $64,439.02",,,6.05,-4.65,-76.86,2026-07-26T09:30:05.964903Z
KXBTC15M-26JUL260445-45,BTC price up in next 15 mins?,"Target Price: $64,339.36",,,6.05,-4.59,-75.87,2026-07-26T08:45:06.01876Z
KXBTC15M-26JUL260430-30,BTC price up in next 15 mins?,"Target Price: $64,330.65",,,6.00,-4.16,-69.33,2026-07-26T08:30:06.025008Z
KXBTC15M-26JUL260345-45,BTC price up in next 15 mins?,"Target Price: $64,315.22",,,6.05,-4.54,-75.04,2026-07-26T07:45:06.027472Z
KXBTC15M-26JUL260330-30,BTC price up in next 15 mins?,"Target Price: $64,358.34",,,6.04,-4.82,-79.80,2026-07-26T07:30:06.019194Z
KXBTC15M-26JUL260315-15,BTC price up in next 15 mins?,"Target Price: $64,379.33",9,No,3.00,6.00,200.00,2026-07-26T07:15:06.027283Z
KXBTC15M-26JUL260230-30,BTC price up in next 15 mins?,"Target Price: $64,295.33",,,6.05,-4.59,-75.87,2026-07-26T06:30:05.982727Z
KXBTC15M-26JUL260215-15,BTC price up in next 15 mins?,"Target Price: $64,364.31",,,6.05,-4.65,-76.86,2026-07-26T06:15:06.037312Z
KXBTC15M-26JUL260130-30,BTC price up in next 15 mins?,"Target Price: $64,460.25",,,6.06,-4.43,-73.10,2026-07-26T05:30:06.039539Z
KXBTC15M-26JUL260115-15,BTC price up in next 15 mins?,"Target Price: $64,467.51",,,6.06,-5.18,-85.48,2026-07-26T05:15:06.093057Z
KXBTC15M-26JUL260100-00,BTC price up in next 15 mins?,"Target Price: $64,503.73",9,No,2.34,6.54,279.49,2026-07-26T05:00:06.033437Z
KXBTC15M-26JUL260045-45,BTC price up in next 15 mins?,"Target Price: $64,490.58",,,6.05,-4.45,-73.55,2026-07-26T04:45:06.035179Z
KXBTC15M-26JUL260030-30,BTC price up in next 15 mins?,"Target Price: $64,450.49",3,Yes,1.06,1.94,183.02,2026-07-26T04:30:06.036124Z
KXBTC15M-26JUL260015-15,BTC price up in next 15 mins?,"Target Price: $64,478.24",,,6.05,-4.62,-76.36,2026-07-26T04:15:05.990063Z
KXBTC15M-26JUL260000-00,BTC price up in next 15 mins?,"Target Price: $64,494.17",3,No,1.20,1.80,150.00,2026-07-26T04:00:06.041408Z
KXBTC15M-26JUL252315-15,BTC price up in next 15 mins?,"Target Price: $64,462.80",,,6.05,-4.48,-74.05,2026-07-26T03:15:06.043532Z
KXBTC15M-26JUL252230-30,BTC price up in next 15 mins?,"Target Price: $64,418.95",,,6.04,-4.98,-82.45,2026-07-26T02:30:06.047985Z
KXBTC15M-26JUL252145-45,BTC price up in next 15 mins?,"Target Price: $64,424.38",,,6.04,-4.85,-80.30,2026-07-26T01:45:06.259252Z
KXBTC15M-26JUL252130-30,BTC price up in next 15 mins?,"Target Price: $64,440.88",,,6.05,-4.59,-75.87,2026-07-26T01:30:06.039383Z
KXBTC15M-26JUL252115-15,BTC price up in next 15 mins?,"Target Price: $64,442.72",9,No,3.00,5.95,198.33,2026-07-26T01:15:06.094853Z
KXBTC15M-26JUL252100-00,BTC price up in next 15 mins?,"Target Price: $64,365.60",9,Yes,3.00,6.00,200.00,2026-07-26T01:00:05.982266Z
KXBTC15M-26JUL252045-45,BTC price up in next 15 mins?,"Target Price: $64,413.75",3,No,1.20,1.80,150.00,2026-07-26T00:45:05.990709Z
KXBTC15M-26JUL252000-00,BTC price up in next 15 mins?,"Target Price: $64,333.74",,,6.05,-4.57,-75.54,2026-07-26T00:00:05.987928Z
KXBTC15M-26JUL251945-45,BTC price up in next 15 mins?,"Target Price: $64,346.28",,,6.04,-4.76,-78.81,2026-07-25T23:45:06.04439Z
KXBTC15M-26JUL251900-00,BTC price up in next 15 mins?,"Target Price: $64,332.07",,,6.05,-4.71,-77.85,2026-07-25T23:00:05.997651Z
KXBTC15M-26JUL251845-45,BTC price up in next 15 mins?,"Target Price: $64,326.24",,,6.01,-5.66,-94.18,2026-07-25T22:45:06.040656Z
KXBTC15M-26JUL251800-00,BTC price up in next 15 mins?,"Target Price: $64,286.53",30,No,6.00,-6.00,-100.00,2026-07-25T22:00:06.043137Z
KXBTC15M-26JUL251745-45,BTC price up in next 15 mins?,"Target Price: $64,234.34",,,6.05,-4.74,-78.35,2026-07-25T21:45:06.035949Z
KXBTC15M-26JUL251730-30,BTC price up in next 15 mins?,"Target Price: $64,222.96",18,Yes,4.80,13.20,275.00,2026-07-25T21:30:06.038775Z
KXBTC15M-26JUL251645-45,BTC price up in next 15 mins?,"Target Price: $64,314.45",,,6.03,-5.10,-84.58,2026-07-25T20:45:06.04198Z
KXBTC15M-26JUL251630-30,BTC price up in next 15 mins?,"Target Price: $64,316.47",,,6.03,-5.24,-86.90,2026-07-25T20:30:06.046729Z
KXBTC15M-26JUL251545-45,BTC price up in next 15 mins?,"Target Price: $64,366.22",,,6.05,-4.56,-75.37,2026-07-25T19:45:06.324838Z
KXBTC15M-26JUL251515-15,BTC price up in next 15 mins?,"Target Price: $64,365.87",,,6.04,-4.93,-81.62,2026-07-25T19:15:06.035667Z
KXBTC15M-26JUL251500-00,BTC price up in next 15 mins?,"Target Price: $64,342.53",3,Yes,1.20,1.80,150.00,2026-07-25T19:00:06.035659Z
KXBTC15M-26JUL251445-45,BTC price up in next 15 mins?,"Target Price: $64,349.44",9,No,3.00,6.00,200.00,2026-07-25T18:45:06.03916Z
KXBTC15M-26JUL251430-30,BTC price up in next 15 mins?,"Target Price: $64,299.60",,,6.05,-4.65,-76.86,2026-07-25T18:30:06.040249Z
KXBTC15M-26JUL251400-00,BTC price up in next 15 mins?,"Target Price: $64,226.69",30,No,6.00,24.00,400.00,2026-07-25T18:00:06.083192Z
KXBTC15M-26JUL251345-45,BTC price up in next 15 mins?,"Target Price: $64,209.96",,,6.05,-4.45,-73.55,2026-07-25T17:45:06.086009Z
KXBTC15M-26JUL251315-15,BTC price up in next 15 mins?,"Target Price: $64,148.63",18,No,4.80,13.20,275.00,2026-07-25T17:15:06.141441Z
KXBTC15M-26JUL251300-00,BTC price up in next 15 mins?,"Target Price: $64,140.38",,,6.14,-1.48,-24.10,2026-07-25T17:00:06.03457Z
KXBTC15M-26JUL251230-30,BTC price up in next 15 mins?,"Target Price: $64,134.87",3,No,1.20,1.80,150.00,2026-07-25T16:30:06.030714Z
KXBTC15M-26JUL251215-15,BTC price up in next 15 mins?,"Target Price: $64,120.37",30,Yes,6.00,24.00,400.00,2026-07-25T16:15:06.08853Z
KXBTC15M-26JUL251200-00,BTC price up in next 15 mins?,"Target Price: $64,153.32",3,No,1.20,1.80,150.00,2026-07-25T16:00:06.035824Z
KXBTC15M-26JUL251145-45,BTC price up in next 15 mins?,"Target Price: $64,142.83",9,Yes,3.00,6.00,200.00,2026-07-25T15:45:06.032081Z
KXBTC15M-26JUL251130-30,BTC price up in next 15 mins?,"Target Price: $64,185.17",3,No,1.20,1.80,150.00,2026-07-25T15:30:05.975563Z
KXBTC15M-26JUL251115-15,BTC price up in next 15 mins?,"Target Price: $64,148.34",,,6.03,-5.10,-84.58,2026-07-25T15:15:06.082007Z
KXBTC15M-26JUL251030-30,BTC price up in next 15 mins?,"Target Price: $64,105.53",,,6.03,-5.21,-86.40,2026-07-25T14:30:06.026226Z
KXBTC15M-26JUL251015-15,BTC price up in next 15 mins?,"Target Price: $64,108.12",,,6.04,-4.96,-82.12,2026-07-25T14:15:06.03867Z
KXBTC15M-26JUL251000-00,BTC price up in next 15 mins?,"Target Price: $64,134.31",30,No,5.88,24.08,409.52,2026-07-25T14:00:06.026059Z
KXBTC15M-26JUL250915-15,BTC price up in next 15 mins?,"Target Price: $64,055.80",,,6.05,-4.65,-76.86,2026-07-25T13:15:05.975751Z
KXBTC15M-26JUL250900-00,BTC price up in next 15 mins?,"Target Price: $64,034.45",,,6.05,-4.59,-75.87,2026-07-25T13:00:06.022715Z
KXBTC15M-26JUL250845-45,BTC price up in next 15 mins?,"Target Price: $63,987.70",3,Yes,1.20,1.80,150.00,2026-07-25T12:45:06.023013Z
KXBTC15M-26JUL250830-30,BTC price up in next 15 mins?,"Target Price: $63,992.12",,,6.04,-4.93,-81.62,2026-07-25T12:30:06.023298Z
KXBTC15M-26JUL250815-15,BTC price up in next 15 mins?,"Target Price: $64,001.10",18,No,4.80,13.20,275.00,2026-07-25T12:15:06.024417Z
KXBTC15M-26JUL250730-30,BTC price up in next 15 mins?,"Target Price: $64,008.33",,,6.05,-4.59,-75.87,2026-07-25T11:30:06.019686Z
KXBTC15M-26JUL250715-15,BTC price up in next 15 mins?,"Target Price: $64,002.37",,,6.04,-4.96,-82.12,2026-07-25T11:15:05.971537Z
KXBTC15M-26JUL250700-00,BTC price up in next 15 mins?,"Target Price: $63,960.46",9,Yes,3.00,6.00,200.00,2026-07-25T11:00:05.967571Z
KXBTC15M-26JUL250645-45,BTC price up in next 15 mins?,"Target Price: $63,968.34",,,6.04,-4.90,-81.13,2026-07-25T10:45:05.968723Z
KXBTC15M-26JUL250630-30,BTC price up in next 15 mins?,"Target Price: $63,976.95",9,No,3.00,6.00,200.00,2026-07-25T10:30:05.966753Z
KXBTC15M-26JUL250615-15,BTC price up in next 15 mins?,"Target Price: $63,934.74",,,6.05,-4.71,-77.85,2026-07-25T10:15:05.964081Z
KXBTC15M-26JUL250515-15,BTC price up in next 15 mins?,"Target Price: $63,806.86",,,6.05,-4.58,-75.70,2026-07-25T09:15:06.021277Z
KXBTC15M-26JUL250500-00,BTC price up in next 15 mins?,"Target Price: $63,900.49",,,5.35,-4.10,-76.64,2026-07-25T09:00:05.967635Z
KXBTC15M-26JUL250445-45,BTC price up in next 15 mins?,"Target Price: $63,937.74",3,No,1.20,1.80,150.00,2026-07-25T08:45:06.020222Z
KXBTC15M-26JUL250400-00,BTC price up in next 15 mins?,"Target Price: $63,966.33",,,6.04,-4.67,-77.32,2026-07-25T08:00:06.026867Z
KXBTC15M-26JUL250345-45,BTC price up in next 15 mins?,"Target Price: $63,965.45",30,No,6.00,-6.00,-100.00,2026-07-25T07:45:06.029552Z
KXBTC15M-26JUL250300-00,BTC price up in next 15 mins?,"Target Price: $63,935.02",,,6.04,-4.90,-81.13,2026-07-25T07:00:06.029618Z
KXBTC15M-26JUL250245-45,BTC price up in next 15 mins?,"Target Price: $63,950.82",,,5.92,-5.53,-93.41,2026-07-25T06:45:06.031955Z
KXBTC15M-26JUL250230-30,BTC price up in next 15 mins?,"Target Price: $63,992.48",3,No,1.20,1.75,145.83,2026-07-25T06:30:06.033428Z
KXBTC15M-26JUL250130-30,BTC price up in next 15 mins?,"Target Price: $64,093.60",,,6.05,-4.54,-75.04,2026-07-25T05:30:06.089201Z
KXBTC15M-26JUL250115-15,BTC price up in next 15 mins?,"Target Price: $64,102.10",,,6.03,-5.30,-87.89,2026-07-25T05:15:06.042992Z
KXBTC15M-26JUL250100-00,BTC price up in next 15 mins?,"Target Price: $64,122.27",18,No,4.80,13.20,275.00,2026-07-25T05:00:05.982768Z
KXBTC15M-26JUL250045-45,BTC price up in next 15 mins?,"Target Price: $64,048.13",18,Yes,4.80,13.20,275.00,2026-07-25T04:45:05.9812Z
KXBTC15M-26JUL250030-30,BTC price up in next 15 mins?,"Target Price: $64,064.07",3,No,1.20,1.80,150.00,2026-07-25T04:30:05.984664Z
KXBTC15M-26JUL242345-45,BTC price up in next 15 mins?,"Target Price: $64,018.68",,,6.05,-4.68,-77.36,2026-07-25T03:45:06.038144Z
KXBTC15M-26JUL242300-00,BTC price up in next 15 mins?,"Target Price: $63,993.35",,,6.04,-4.88,-80.79,2026-07-25T03:00:06.087822Z
KXBTC15M-26JUL242245-45,BTC price up in next 15 mins?,"Target Price: $63,995.82",,,6.04,-4.86,-80.46,2026-07-25T02:45:06.04362Z
KXBTC15M-26JUL242215-15,BTC price up in next 15 mins?,"Target Price: $64,009.13",3,Yes,1.20,1.80,150.00,2026-07-25T02:15:06.041595Z
KXBTC15M-26JUL242200-00,BTC price up in next 15 mins?,"Target Price: $64,060.64",9,No,3.00,6.00,200.00,2026-07-25T02:00:05.988832Z
