timestamp,market_ticker,market_close_time,shadow_balance_before,shadow_market_pnl,shadow_realized_pnl,shadow_balance_change,shadow_balance_after,shadow_selected_side,shadow_eligible,shadow_skip_reason,shadow_contracts,shadow_average_entry,shadow_cost,shadow_proceeds,shadow_payout,shadow_fees,shadow_exit_method,shadow_fill_model,shadow_simulation_quality,live_execution_enabled,completed_at
2026-08-01T23:00:12.438142+00:00,KXBTC15M-26AUG011900-00,2026-08-01T23:00:12.401047+00:00,60.377015,-4.6500,-4.6500,-4.6500,55.727015,yes,True,,30.0,0.2,6.00,1.3500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-01T23:00:12.438145+00:00
2026-08-01T23:15:27.973170+00:00,KXBTC15M-26AUG011915-15,2026-08-01T23:15:27.933592+00:00,55.727015,0,0,0,55.727015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-01T23:15:27.973173+00:00
2026-08-01T23:30:14.593934+00:00,KXBTC15M-26AUG011930-30,2026-08-01T23:30:14.473714+00:00,55.727015,0,0,0,55.727015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-01T23:30:14.593937+00:00
2026-08-01T23:45:15.075220+00:00,KXBTC15M-26AUG011945-45,2026-08-01T23:45:15.042382+00:00,55.727015,0,0,0,55.727015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-01T23:45:15.075223+00:00
2026-08-02T00:00:21.986484+00:00,KXBTC15M-26AUG012000-00,2026-08-02T00:00:21.948981+00:00,55.727015,-4.7700,-4.7700,-4.7700,50.957015,no,True,,30.0,0.2,6.00,1.2300,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-02T00:00:21.986487+00:00
2026-08-02T00:15:26.749199+00:00,KXBTC15M-26AUG012015-15,2026-08-02T00:15:26.696625+00:00,50.957015,0,0,0,50.957015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T00:15:26.749202+00:00
2026-08-02T00:30:21.668953+00:00,KXBTC15M-26AUG012030-30,2026-08-02T00:30:21.617457+00:00,50.957015,0,0,0,50.957015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T00:30:21.668956+00:00
2026-08-02T00:45:23.688822+00:00,KXBTC15M-26AUG012045-45,2026-08-02T00:45:23.649449+00:00,50.957015,-4.68000,-4.68000,-4.68000,46.277015,yes,True,,30.00,0.2,6.000,1.32000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-02T00:45:23.688826+00:00
2026-08-02T01:00:16.080869+00:00,KXBTC15M-26AUG012100-00,2026-08-02T01:00:16.022727+00:00,46.277015,0,0,0,46.277015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T01:00:16.080873+00:00
2026-08-02T01:15:22.050220+00:00,KXBTC15M-26AUG012115-15,2026-08-02T01:15:22.014975+00:00,46.277015,0,0,0,46.277015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T01:15:22.050223+00:00
2026-08-02T01:30:18.441471+00:00,KXBTC15M-26AUG012130-30,2026-08-02T01:30:18.406605+00:00,46.277015,-4.5000,-4.5000,-4.5000,41.777015,no,True,,30.00,0.2,6.000,1.5000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-02T01:30:18.441475+00:00
2026-08-02T01:45:20.415431+00:00,KXBTC15M-26AUG012145-45,2026-08-02T01:45:20.378963+00:00,41.777015,0,0,0,41.777015,no,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T01:45:20.415434+00:00
