ticker,market_open_epoch,signal_side,outcome,initial_ask_cents,entry_limit_cents,old_reached_40,eventual_winner,observed_limit_touch_60s,observed_strict_trade_through_60s,observed_stop_45_after_touch_60s,lowest_recorded_bid_60s_cents
KXBTC15M-26AUG171545-45,1786995000.0,no,no,60,59,True,True,True,True,False,55
KXBTC15M-26AUG171600-00,1786995900.0,yes,no,49,48,True,False,True,True,False,46
KXBTC15M-26AUG171630-30,1786997700.0,yes,yes,59,58,True,True,True,True,True,44
KXBTC15M-26AUG171645-45,1786998600.0,no,no,51,50,False,True,False,False,False,50
KXBTC15M-26AUG171715-15,1787000400.0,no,no,57,56,True,True,True,True,False,46
KXBTC15M-26AUG171730-30,1787001300.0,yes,no,54,53,True,False,False,False,False,53
KXBTC15M-26AUG171745-45,1787002200.0,yes,yes,61,60,True,True,False,False,False,60
KXBTC15M-26AUG171800-00,1787003100.0,no,yes,55,54,True,False,True,True,False,52
KXBTC15M-26AUG171830-30,1787004900.0,yes,no,50,49,True,False,True,True,True,42
KXBTC15M-26AUG171845-45,1787005800.0,yes,yes,55,54,True,True,True,True,True,38
KXBTC15M-26AUG171900-00,1787006700.0,no,no,51,50,True,True,True,False,False,49
KXBTC15M-26AUG171915-15,1787007600.0,yes,yes,51,50,True,True,True,True,True,40
KXBTC15M-26AUG171930-30,1787008500.0,no,yes,55,54,True,False,True,True,False,46
KXBTC15M-26AUG171945-45,1787009400.0,no,yes,50,49,True,False,False,False,False,49
KXBTC15M-26AUG172000-00,1787010300.0,no,yes,53,52,True,False,True,False,False,51
KXBTC15M-26AUG172015-15,1787011200.0,no,no,56,55,False,True,True,True,True,38
KXBTC15M-26AUG172030-30,1787012100.0,yes,yes,51,50,False,True,False,False,False,50
KXBTC15M-26AUG172045-45,1787013000.0,no,no,53,52,False,True,False,False,False,52
KXBTC15M-26AUG172100-00,1787013900.0,yes,no,53,52,True,False,True,True,False,46
KXBTC15M-26AUG172115-15,1787014800.0,yes,no,57,56,True,False,True,True,True,35
KXBTC15M-26AUG172130-30,1787015700.0,yes,no,58,57,True,False,True,True,False,50
KXBTC15M-26AUG172145-45,1787016600.0,yes,no,59,58,True,False,True,False,False,57
KXBTC15M-26AUG172200-00,1787017500.0,yes,no,50,49,True,False,True,True,True,38
KXBTC15M-26AUG172215-15,1787018400.0,yes,yes,59,58,True,True,True,True,False,50
KXBTC15M-26AUG172230-30,1787019300.0,no,no,52,51,True,True,False,False,False,51
KXBTC15M-26AUG172245-45,1787020200.0,yes,no,52,51,True,False,True,True,True,33
KXBTC15M-26AUG172300-00,1787021100.0,yes,no,50,49,True,False,True,True,True,29
KXBTC15M-26AUG172315-15,1787022000.0,yes,no,52,51,True,False,True,True,False,49
KXBTC15M-26AUG172330-30,1787022900.0,yes,yes,53,52,False,True,False,False,False,52
KXBTC15M-26AUG172345-45,1787023800.0,no,yes,51,50,True,False,False,False,False,50
KXBTC15M-26AUG180000-00,1787024700.0,no,yes,48,47,True,False,True,True,True,43
