series,month,predictions,wins,losses,win_rate
KXBNB15M,2026-03,1240,662,578,0.5338709677419354
KXBNB15M,2026-04,2820,1408,1412,0.49929078014184397
KXBNB15M,2026-05,2851,1441,1410,0.5054366888810944
KXBNB15M,2026-06,2835,1495,1340,0.527336860670194
KXBNB15M,2026-07,2931,1538,1393,0.5247355851245309
KXBNB15M,2026-08,2941,1482,1459,0.5039102346140768
KXBNB15M,2026-09,669,339,330,0.5067264573991032
KXBTC15M,2025-12,1562,807,755,0.5166453265044815
KXBTC15M,2026-01,2972,1543,1429,0.519179004037685
KXBTC15M,2026-02,2676,1362,1314,0.5089686098654709
KXBTC15M,2026-03,2928,1510,1418,0.5157103825136612
KXBTC15M,2026-04,2820,1507,1313,0.5343971631205674
KXBTC15M,2026-05,2928,1489,1439,0.5085382513661202
KXBTC15M,2026-06,2835,1464,1371,0.5164021164021164
KXBTC15M,2026-07,2931,1505,1426,0.5134766291368134
KXBTC15M,2026-08,2941,1479,1462,0.5028901734104047
KXBTC15M,2026-09,669,336,333,0.5022421524663677
KXCOPPER15M,2026-08,229,121,108,0.5283842794759825
KXCOPPER15M,2026-09,501,245,256,0.48902195608782434
KXDOGE15M,2026-03,1239,641,598,0.5173527037933817
KXDOGE15M,2026-04,2820,1468,1352,0.5205673758865248
KXDOGE15M,2026-05,2851,1482,1369,0.5198176078568923
KXDOGE15M,2026-06,2835,1471,1364,0.5188712522045855
KXDOGE15M,2026-07,2931,1540,1391,0.5254179460934835
KXDOGE15M,2026-08,2941,1505,1436,0.5117307038422305
KXDOGE15M,2026-09,669,341,328,0.5097159940209267
KXETH15M,2025-12,1551,779,772,0.5022566086395873
KXETH15M,2026-01,2970,1510,1460,0.5084175084175084
KXETH15M,2026-02,2676,1346,1330,0.5029895366218237
KXETH15M,2026-03,2928,1516,1412,0.51775956284153
KXETH15M,2026-04,2820,1455,1365,0.5159574468085106
KXETH15M,2026-05,2928,1527,1401,0.5215163934426229
KXETH15M,2026-06,2835,1490,1345,0.5255731922398589
KXETH15M,2026-07,2931,1494,1437,0.5097236438075742
KXETH15M,2026-08,2941,1518,1423,0.5161509690581435
KXETH15M,2026-09,669,352,317,0.5261584454409567
KXGOLD15M,2026-07,23,14,9,0.6086956521739131
KXGOLD15M,2026-08,2071,1026,1045,0.4954128440366973
KXGOLD15M,2026-09,501,251,250,0.500998003992016
KXHYPE15M,2026-03,1239,624,615,0.5036319612590799
KXHYPE15M,2026-04,2820,1456,1364,0.5163120567375886
KXHYPE15M,2026-05,2851,1394,1457,0.48895124517713084
KXHYPE15M,2026-06,2835,1448,1387,0.510758377425044
KXHYPE15M,2026-07,2931,1512,1419,0.5158648925281474
KXHYPE15M,2026-08,2941,1492,1449,0.5073104386263175
KXHYPE15M,2026-09,669,349,320,0.5216741405082213
KXNATGAS15M,2026-08,229,104,125,0.45414847161572053
KXNATGAS15M,2026-09,501,262,239,0.5229540918163673
KXNEAR15M,2026-06,26,14,12,0.5384615384615384
KXNEAR15M,2026-07,2931,1489,1442,0.5080177413851927
KXNEAR15M,2026-08,2941,1451,1490,0.4933696021761306
KXNEAR15M,2026-09,669,329,340,0.49177877428998507
KXSILVER15M,2026-07,23,12,11,0.5217391304347826
KXSILVER15M,2026-08,2071,1050,1021,0.5070014485755674
KXSILVER15M,2026-09,501,269,232,0.5369261477045908
KXSOL15M,2026-01,2198,1152,1046,0.5241128298453139
KXSOL15M,2026-02,2676,1366,1310,0.5104633781763827
KXSOL15M,2026-03,2928,1563,1365,0.5338114754098361
KXSOL15M,2026-04,2820,1478,1342,0.524113475177305
KXSOL15M,2026-05,2890,1462,1428,0.5058823529411764
KXSOL15M,2026-06,2835,1472,1363,0.5192239858906526
KXSOL15M,2026-07,2931,1496,1435,0.5104060047765268
KXSOL15M,2026-08,2941,1494,1447,0.5079904794287657
KXSOL15M,2026-09,669,343,326,0.5127055306427504
KXWTI15M,2026-07,23,13,10,0.5652173913043478
KXWTI15M,2026-08,2071,1064,1007,0.5137614678899083
KXWTI15M,2026-09,501,273,228,0.5449101796407185
KXXRP15M,2026-02,1694,817,877,0.4822904368358914
KXXRP15M,2026-03,2928,1553,1375,0.530396174863388
KXXRP15M,2026-04,2820,1465,1355,0.5195035460992907
KXXRP15M,2026-05,2851,1432,1419,0.5022799017888461
KXXRP15M,2026-06,2835,1433,1402,0.5054673721340388
KXXRP15M,2026-07,2931,1452,1479,0.4953940634595701
KXXRP15M,2026-08,2941,1480,1461,0.5032301938116287
KXXRP15M,2026-09,669,350,319,0.523168908819133
KXZEC15M,2026-06,26,16,10,0.6153846153846154
KXZEC15M,2026-07,2931,1535,1396,0.523712043671102
KXZEC15M,2026-08,2941,1545,1396,0.5253315198911934
KXZEC15M,2026-09,669,338,331,0.5052316890881914
